Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,20,0.92126
0.005,1000,30,0.92153
0.005,1000,40,0.71769
0.005,1000,50,0.99736
0.005,1000,60,0.84296
0.005,1000,70,0.85357
0.005,1000,80,0.0041355
0.005,1000,90,0.0009124
0.005,1000,100,0.0004828
0.005,1000,1,1.0036
0.005,1000,10,0.96565
0.005,1000,20,1.7255
0.005,1000,30,0.90598
0.005,1000,40,0.90598
0.005,1000,50,0.90598
0.005,1000,60,1.2502
0.005,1000,70,0.90598
0.005,1000,80,0.90598
0.005,1000,90,0.90598
0.005,1000,100,0.90598
0.005,1000,1,1.0793
0.005,1000,10,51.2775
0.005,1000,20,16.7131
0.005,1000,30,1.5373
0.005,1000,40,2.3902
0.005,1000,50,0.77659
0.005,1000,60,0.83218
0.005,1000,70,0.82768
0.005,1000,80,0.80799
0.005,1000,90,0.91526
0.005,1000,100,0.87538
0.005,1000,1,1.041
0.005,1000,10,4.7211
0.005,1000,20,4.4376
0.005,1000,30,0.7261
0.005,1000,40,0.72607
0.005,1000,50,0.72607
0.005,1000,60,0.72607
0.005,1000,70,0.72607
0.005,1000,80,0.72607
0.005,1000,90,0.72607
0.005,1000,100,0.72607
0.005,1000,1,1.0141
0.005,1000,10,5.5031
0.005,1000,20,2.3328
0.005,1000,30,0.95473
0.005,1000,40,0.95478
0.005,1000,50,0.039619
0.005,1000,60,0.04054
0.005,1000,70,0.092858
0.005,1000,80,0.87612
0.005,1000,90,0.95481
0.005,1000,100,0.95481
0.005,1000,1,1.0215
0.005,1000,10,17.7061
0.005,1000,20,1.0536
0.005,1000,30,0.99972
0.005,1000,40,0.99972
0.005,1000,50,0.99972
0.005,1000,60,0.99972
0.005,1000,70,0.99972
0.005,1000,80,0.99972
0.005,1000,90,0.99972
0.005,1000,100,0.99972
0.005,1000,1,1.0041
0.005,1000,10,0.97675
0.005,1000,20,3.0042
0.005,1000,30,0.97675
0.005,1000,40,0.97676
0.005,1000,50,0.97675
0.005,1000,60,0.97675
0.005,1000,70,0.97675
0.005,1000,80,0.97675
0.005,1000,90,0.97675
0.005,1000,100,0.97675
0.005,1000,1,1.0164
0.005,1000,10,11.2569
0.005,1000,20,0.99791
0.005,1000,30,0.98556
0.005,1000,40,0.15421
0.005,1000,50,0.6985
0.005,1000,60,0.4413
0.005,1000,70,3.5169e-05
0.005,1000,80,3.2267e-05
0.005,1000,90,2.9527e-05
0.005,1000,100,2.7262e-05
0.005,1000,1,1.0128
0.005,1000,10,23.2848
0.005,1000,20,1.0002
0.005,1000,30,1.1983
0.005,1000,40,0.98772
0.005,1000,50,0.0087234
0.005,1000,60,0.0063948
0.005,1000,70,8.6768e-05
0.005,1000,80,4.2051e-05
0.005,1000,90,1.7791e-05
0.005,1000,100,1.6166e-05
0.005,1000,1,1.017
0.005,1000,10,5.7061
0.005,1000,20,1.1507
0.005,1000,30,0.28265
0.005,1000,40,0.99481
0.005,1000,50,0.00040164
