Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,35,1.0008
0.005,1000,36,1.0027
0.005,1000,37,1.0019
0.005,1000,38,1.0027
0.005,1000,39,1.0011
0.005,1000,40,1.1007
0.005,1000,41,1.0461
0.005,1000,42,1.0014
0.005,1000,43,1.0141
0.005,1000,44,1.0013
0.005,1000,45,0.97477
0.005,1000,46,0.95934
0.005,1000,47,0.94969
0.005,1000,48,0.93737
0.005,1000,49,0.92571
0.005,1000,50,0.91087
0.005,1000,51,0.8912
0.005,1000,52,0.84517
0.005,1000,53,0.75538
0.005,1000,54,0.7977
0.005,1000,55,0.038811
0.005,1000,56,0.03864
0.005,1000,57,0.038161
0.005,1000,58,0.038111
0.005,1000,59,0.038075
0.005,1000,60,0.038052
0.005,1000,61,0.58281
0.005,1000,62,0.58238
0.005,1000,63,0.58171
0.005,1000,64,0.5809
0.005,1000,65,0.58002
0.005,1000,66,0.59018
0.005,1000,67,0.60024
0.005,1000,68,0.60716
0.005,1000,69,0.61156
0.005,1000,70,0.60111
0.005,1000,71,0.62706
0.005,1000,72,0.7686
0.005,1000,73,0.7819
0.005,1000,74,0.76837
0.005,1000,75,0.76837
0.005,1000,76,0.76839
0.005,1000,77,0.76724
0.005,1000,78,0.76596
0.005,1000,79,0.76465
0.005,1000,80,0.038185
0.005,1000,81,0.038179
0.005,1000,82,0.038182
0.005,1000,83,0.038192
0.005,1000,84,0.03818
0.005,1000,85,0.038151
0.005,1000,86,0.038164
0.005,1000,87,0.038137
0.005,1000,88,0.038121
0.005,1000,89,0.038118
0.005,1000,90,0.038118
0.005,1000,91,0.038147
0.005,1000,92,0.038163
0.005,1000,93,0.038156
0.005,1000,94,0.038149
0.005,1000,95,0.038147
0.005,1000,96,0.038149
0.005,1000,97,0.038158
0.005,1000,98,0.038174
0.005,1000,99,0.038197
0.005,1000,100,0.038231
0.005,1000,1,1.0285
0.005,1000,2,175.4197
0.005,1000,3,16.3512
0.005,1000,4,1.0748
0.005,1000,5,1.0797
0.005,1000,6,1.2909
0.005,1000,7,6.8756
0.005,1000,8,9.5569
0.005,1000,9,22.5548
0.005,1000,10,22.7869
0.005,1000,11,9.4355
0.005,1000,12,5.3744
0.005,1000,13,4.9762
0.005,1000,14,1.7825
0.005,1000,15,2.5861
0.005,1000,16,2.5812
0.005,1000,17,0.97807
0.005,1000,18,1.2113
0.005,1000,19,2.3336
0.005,1000,20,2.4629
0.005,1000,21,0.96665
0.005,1000,22,0.96657
0.005,1000,23,1.0509
0.005,1000,24,3.4693
0.005,1000,25,1.1609
0.005,1000,26,1.0767
0.005,1000,27,2.3495
0.005,1000,28,1.1129
0.005,1000,29,1.0173
0.005,1000,30,148.4738
0.005,1000,31,1.0033
0.005,1000,32,1.1255
0.005,1000,33,3.19
0.005,1000,34,2.4133
0.005,1000,35,42.7338
0.005,1000,36,3.6404
0.005,1000,37,3.0291
0.005,1000,38,1.4119
0.005,1000,39,1.0009
0.005,1000,40,1.0009
0.005,1000,41,1.0084
0.005,1000,42,1.8042
0.005,1000,43,2.491
0.005,1000,44,2.247
0.005,1000,45,2.2472
0.005,1000,46,2.0712
0.005,1000,47,1.1933
0.005,1000,48,1.0072
0.005,1000,49,0.98559
0.005,1000,50,0.97953
0.005,1000,51,1.2372
0.005,1000,52,1.1704
0.005,1000,53,1.1811
0.005,1000,54,1.0043
0.005,1000,55,0.0099057
0.005,1000,56,0.0098221
0.005,1000,57,0.0098066
0.005,1000,58,0.0098054
0.005,1000,59,0.0097913
0.005,1000,60,0.0097913
0.005,1000,61,0.0098524
0.005,1000,62,0.0098328
0.005,1000,63,0.0097737
0.005,1000,64,0.0098056
0.005,1000,65,0.0097772
0.005,1000,66,0.0097711
0.005,1000,67,0.0098103
0.005,1000,68,0.0098383
0.005,1000,69,0.009848
0.005,1000,70,0.0098711
0.005,1000,71,0.0098878
0.005,1000,72,0.0099292
0.005,1000,73,0.0099767
0.005,1000,74,0.010026
0.005,1000,75,0.010077
0.005,1000,76,0.01015
0.005,1000,77,0.010267
0.005,1000,78,0.010326
0.005,1000,79,0.010377
0.005,1000,80,0.010423
0.005,1000,81,0.010465
0.005,1000,82,0.010498
0.005,1000,83,0.010614
0.005,1000,84,0.010659
0.005,1000,85,0.010759
0.005,1000,86,0.010842
0.005,1000,87,0.010645
0.005,1000,88,0.010653
0.005,1000,89,0.010623
0.005,1000,90,0.010648
0.005,1000,91,0.010527
