Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,10,3.0403e-127,1.2666e-05
0.005,0,1,0,1.0277
0.005,0,2,3.6989e-270,6.0379
0.005,0,3,1.4076e-243,0.92909
0.005,0,4,9.2926e-223,1.1009
0.005,0,5,1.2251e-204,1.396
0.005,0,6,1.4293e-187,4.3731e-05
0.005,0,7,3.3897e-171,2.9973e-05
0.005,0,8,5.0076e-156,3.1569e-05
0.005,0,9,2.3583e-141,2.9755e-05
0.005,0,10,2.1832e-127,2.5068e-05
0.005,0,1,0,1.0349
0.005,0,2,6.7841e-266,1.094
0.005,0,3,7.9409e-241,1.1338
0.005,0,4,2.7182e-221,1.4021
0.005,0,5,1.9869e-203,1.158
0.005,0,6,8.1776e-187,4.2535e-05
0.005,0,7,9.1495e-171,3.3724e-05
0.005,0,8,7.5882e-156,3.0974e-05
0.005,0,9,5.3e-141,1.7309e-05
0.005,0,10,1.1611e-126,1.1601e-05
0.005,0,1,0,1.0109
0.005,0,2,2.0032e-267,1.3712
0.005,0,3,2.6791e-240,1.0469
0.005,0,4,4.2861e-221,0.79945
0.005,0,5,2.2757e-203,0.71135
0.005,0,6,3.2755e-186,0.99916
0.005,0,7,1.3822e-170,1.3598e-05
0.005,0,8,9.7322e-155,1.5987e-05
0.005,0,9,1.4983e-139,1.6153e-05
0.005,0,10,2.5304e-125,1.3005e-05
0.005,0,1,0,1.0264
0.005,0,2,2.6927e-269,1.9339
0.005,0,3,2.4672e-244,2.2793
0.005,0,4,4.8421e-222,1.0117
0.005,0,5,4.2071e-204,1.0124
0.005,0,6,8.4895e-187,0.8999
0.005,0,7,3.1788e-171,4.8005e-05
0.005,0,8,9.9615e-156,3.5227e-05
0.005,0,9,1.1752e-140,2.0687e-05
0.005,0,10,7.9683e-126,1.5883e-05
0.005,0,1,0,1.0116
0.005,0,2,8.583e-265,4.0047
0.005,0,3,7.546e-240,1.2958
0.005,0,4,1.1635e-219,1.0202
0.005,0,5,2.8272e-202,0.00014448
0.005,0,6,2.916e-187,0.00010274
0.005,0,7,4.8669e-172,2.7512e-05
0.005,0,8,5.4075e-155,1.8818e-05
0.005,0,9,2.6781e-140,1.2417e-05
0.005,0,10,1.2986e-125,1.5686e-05
0.005,0,1,0,1.0172
0.005,0,2,3.9579e-267,1.2383
0.005,0,3,1.032e-241,1.3729
0.005,0,4,1.5845e-220,1.0118
0.005,0,5,5.7209e-204,1.116
0.005,0,6,3.5769e-187,0.00031308
0.005,0,7,1.6832e-170,3.4596e-05
0.005,0,8,5.1119e-155,3.7057e-05
0.005,0,9,1.0282e-140,3.6039e-05
0.005,0,10,1.6504e-126,1.3772e-05
0.005,0,1,0,1.0591
0.005,0,2,5.494e-280,1.1111
0.005,0,3,4.759e-251,1.5657
0.005,0,4,6.7896e-229,0.84574
0.005,0,5,2.3861e-208,1.0275
0.005,0,6,2.04e-189,1.1668
0.005,0,7,5.2269e-173,4.1032e-05
0.005,0,8,3.0444e-157,2.8602e-05
0.005,0,9,2.8592e-142,3.2996e-05
0.005,0,10,1.0026e-127,2.831e-05
0.005,0,1,0,1.0508
0.005,0,2,2.6814e-281,1.0122
